Station,Year,Month,Day,Rain_mm
86035,2019,1,3,0
86035,2019,1,4,0
86035,2019,1,5,0.2
86035,2019,1,6,3.2
86035,2019,1,7,0
86035,2019,1,8,0
86035,2019,1,9,0.6
86035,2019,1,10,0
86035,2019,1,11,0
86035,2019,1,12,0
86035,2019,1,13,0
86035,2019,1,14,0
86035,2019,1,15,0
86035,2019,1,16,0
86035,2019,1,17,0
86035,2019,1,18,0
86035,2019,1,19,1
86035,2019,1,20,0
86035,2019,1,21,0
86035,2019,1,22,0
86035,2019,1,23,0
86035,2019,1,24,0
86035,2019,1,25,0
86035,2019,1,26,0
86035,2019,1,27,0.4
86035,2019,1,28,0
86035,2019,1,29,0
86035,2019,1,30,0
86035,2019,1,31,3.4
86035,2019,2,1,0
86035,2019,2,2,0
86035,2019,2,3,0
86035,2019,2,4,0
86035,2019,2,5,0.6
86035,2019,2,6,0
86035,2019,2,7,5.4
86035,2019,2,8,0.4
86035,2019,2,9,0
86035,2019,2,10,6
